tiger_killer;Tiger killer;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
tiger_killer_desc;This character is known in his realm for being adept at killing tigers.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis für daoische Religionen und ihre Jünger.;;Este personaje, aunque no es Confuciano, ni Amidista o Taoísta, tiene una especial simpatía y conocimiento de la fe Daoas y sus seguidores.;;;;;;;;;x;;;;;;;;;
holding_chuseok_feast;Chuseok Feast;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
holding_chuseok_feast_desc;The various activities that constitute Chuseok are being held.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis;;;;;;;;;x;;;;;;;;;
garlic_breath;Garlic breath;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
garlic_breath_desc;This character drinks garlic tea, eats garlic salad and luncheons on roasted garlic with honey. Nobody can question this character's dedication to healthy pursuits. The problem is nobody is likely to pursuit due to rancid breath.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis;;;;;;;;;x;;;;;;;;;
living_with_dog_shit;Dogged Conditions.;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
living_with_dogs_shit_desc;Braving insanitary and insane conditions, this character seeks to rid unholy influence by camping in a ring of dog-feeces.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis;;;;;;;;;x;;;;;;;;;
suro_armor;King Suro's Armor;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
suro_armor_desc;Thanks to grave diggers and dubious craftmen you possess the armor of Heavenly King Suro of Kaya.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis;;;;;;;;;x;;;;;;;;;
partaking_in_dano;Partaking in dano;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
partaking_in_dano_desc;This character is celebrating Dano, also known as Surit-nal.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis für daoische Religionen und ihre Jünger.;;Este personaje, aunque no es Confucia.;;;;;;;;;x;;;;;;;;;
Mu;Mu;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
Mu_desc;This woman has embraced the life of a Mu. It was very unusual in this period for a noble lady to embrace this role.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis für daoische Religionen und ihre Jünger.;;Este personaje, aunque no es Confucia.;;;;;;;;;x;;;;;;;;;
