# Eastern
confucian;Confucian;Confucéenne;Konfuzianer;;Confuciano;;;;;;;;;x
confucian_DESC;Confucianism was found by the Chinese philosopher Confucius (Kong Fuzi ("Master Kong"), born Kong Qiu) in the 5th century B.C. The religion flourished not only China, but also heavily influenced society in other parts of East Asia such as Korea, Japan, and Vietnam. In the game, Confucians get a bonus to dynasty opinion, meaning that they might not need to watch their own kin as closely.;;;;;;;;;;;;;x
kejawen;Kejawèn;;;;;;;;;;;;;x
koshin;Koshin;;;;;;;;;;;;;x
shinto;Shinto;;;;;;;;;;;;;x
shinto_DESC;Shinto, also known as "Kami-no-michi" (the Way of the Gods), is the indigenous religion of Japan. Despite many of its adherents initially being opposed to the introduction of Buddhism in Japan, the Shinto religion has incorporated many Buddhist aspects over time. The Shinto religion teaches that certain deeds create a kind of ritual impurity, which one should want to have cleansed for one's own peace of mind and good fortune rather than a negative connotation of such impurity, and also focuses on ritual practices to establish a connection between one self and their ancestors. In the game, Shinto followers get a significant bonus to Intrigue, meaning that court life becomes significantly more dangerous. Though the religion lacks a clear hierarchy, the Tenno is represented as the religious head due to having an important ceremonial position.;;;;;;;;;;;;;x
shugendo;Shugendo;;;;;;;;;;;;;x
# Pagan
ainu_pagan_reformed;Ainu;;;;;;;;;;;;;x
ainu_pagan_reformed_DESC;The reformed Ainu faith has a Holy Book containing the Ainu creation myth, information about various kamuy, and written renditions of several important yukar. The church also has a standardized liturgy and a formal church hierarchy, rather than relying on disorganized shamans and fortune-tellers.;;;;;;;;;;;;;x
ainu_pagan;Ainu;;;;;;;;;;;;;x
ainu_pagan_DESC;Ainu paganism is an animistic religion, believing that everything in nature in Ainu Mosir (the Land of the People) has a kamuy, an immortal spirit or god originating in Kamuy Mosir (the Land of the Gods). Bears are seen as particularly important, and hunters traiditionally seek to capture bear cubs to raise in their villages until the cub has grown up, at which point the bear is ritually sacrificed as part of the Iyomante ceremony to return the kamuy to Kamuy Mosir.;;;;;;;;;;;;;x
andamanese_pagan_reformed;Andamanese;;;;;;;;;;;;;x
andamanese_pagan;Andamanese;;;;;;;;;;;;;x
bai_pagan_reformed;Benzhuist;;;;;;;;;;;;;x
bai_pagan;Benzhuist;;;;;;;;;;;;;x
bamar_pagan_reformed;Nat;;;;;;;;;;;;;x
bamar_pagan;Nat;;;;;;;;;;;;;x
batak_pagan_reformed;Pemena;;;;;;;;;;;;;x
batak_pagan;Pemena;;;;;;;;;;;;;x
chinese_pagan_reformed;Shenist;;;;;;;;;;;;;x
chinese_pagan_reformed_DESC;By taking the various elements of Taoism, Confucianism, and even Buddhism, the reformed Shenist faith has a standardized Holy Book and liturgy, and a formal church hierarchy led by the High Priest, who can be vassalized by secular rulers.;;;;;;;;;;;;;x
chinese_pagan;Shenist;;;;;;;;;;;;;x
chinese_pagan_DESC;Shenism, Wuism, or Nuoism, is the folk religion of China with multitudes of doctrines and practices. Due to its sheer size and spread, it has influenced if not founded the other local folk religions of both Far East and South East Asia. Its widespread beliefs has resulted in more organized forms of the religion such as Confucianism and Taoism.;;;;;;;;;;;;;x
dayak_pagan_reformed;Kaharingan;Kaharingan;Kaharingan;;Kaharingan;;;;;;;;;x
dayak_pagan_reformed_DESC;The reformed Kaharingan faith has a holy book containing the canonical version of various holy legends, a standardized liturgy and a formal church hierarchy led by the Head Priest, who can be vassalized by secular rulers.;;;;;;;;;;;;;x
dayak_pagan;Kaharingan;Kaharingan;Kaharingan;;Kaharingan;;;;;;;;;x
dayak_pagan_DESC;Kaharinganism is the folk religion of the Dayak people in Borneo. They are known for their long festivals called the Tiwah festival, which lasts for thirty days, and involves the sacrifice of many animals such as buffaloes, cows, pigs, and chickens as offerings to the gods.;;;;;;;;;;;;;x
dusun_pagan_reformed;Momolian;;;;;;;;;;;;;x
dusun_pagan;Momolian;;;;;;;;;;;;;x
inca_pagan_reformed;Yupaychaspa;;;;;;;;;;;;;x
inca_pagan_reformed_DESC;The Inca religion of Yupaychaspa is a polytheistic faith system with the sun god Inti at the head.;;;;;;;;;;;;;x
inca_pagan;Yupaychaspa;;;;;;;;;;;;;x
inca_pagan_DESC;The Inca religion of Yupaychaspa is a polytheistic faith system with the sun god Inti at the head.;;;;;;;;;;;;;x
jurchen_pagan_reformed;Jurchen;;;;;;;;;;;;;x
jurchen_pagan;Jurchen;;;;;;;;;;;;;x
korean_pagan_reformed;Muist;;;;;;;;;;;;;x
korean_pagan_reformed_DESC;The reformed Muist faith has a standardized Holy Book containing founding legends and appropriate sacrifices to both gods and ancestors, as well as a formal church hierarchy.;;;;;;;;;;;;;x
korean_pagan;Muist;;;;;;;;;;;;;x
korean_pagan_DESC;Muism, or Sinism, is the pre-historic shamanistic folk religion of Korea, which shares some similarities with other religions originating nearby, such as Taoism and Confucianism. Purity is important to the rituals performed.;;;;;;;;;;;;;x
maian_pagan_reformed;Anito;;;;;;;;;;;;;x
maian_pagan;Anito;;;;;;;;;;;;;x
melanesian_pagan_reformed;Melanesian;Mélanésien;Melanesisch;;Melanesio;;;;;;;;;x
melanesian_pagan_reformed_DESC;The reformed Melanesian religion is a fusion of many popular beliefs, with a single Holy Book including a creation myth, chapters on rites and rituals, as wells headhunting festivals. The church also has a standardized liturgy and a formal church hierarchy led by a High Priest (or Priestess), who can be vassalized by secular rulers.;;;;;;;;;;;;;x
melanesian_pagan;Melanesian;Mélanésien;Melanesisch;;Melanesio;;;;;;;;;x
melanesian_pagan_DESC;The Melanesian religion represents the diverse pagan beliefs of the tribes of the Pacific Islands. Some of the uniform distinctive practices are mortuary rites, headhunting, and agrarian rituals.;;;;;;;;;;;;;x
miao_pagan_reformed;Kev Dab Qhuas;;;;;;;;;;;;;x
miao_pagan;Kev Dab Qhuas;;;;;;;;;;;;;x
minahasan_pagan_reformed;Minahasan;;;;;;;;;;;;;x
minahasan_pagan;Minahasan;;;;;;;;;;;;;x
minangkabau_pagan_reformed;Minangkabau;;;;;;;;;;;;;x
minangkabau_pagan;Minangkabau;;;;;;;;;;;;;x
nivkh_pagan_reformed;Nivkh;;;;;;;;;;;;;x
nivkh_pagan;Nivkh;;;;;;;;;;;;;x
ryukyuan_pagan_reformed;Ryukyuan;;;;;;;;;;;;;x
ryukyuan_pagan_reformed_DESC;The reformed Ryukyuan faith has a written history detailing the founding of the world and how certain dynasties have divine ancestry, as well as a more formal religious hierarchy than before reformation.;;;;;;;;;;;;;x
ryukyuan_pagan;Ryukyuan;;;;;;;;;;;;;x
ryukyuan_pagan_DESC;The Ryukyuan religion is an indigenous belief system to the people of the Ryukyu Islands having animistic roots. Though similar to the Japanese Shinto religion, Ryukyuans believe in the concept of onarigami, the spiritual superiority of women, in stark contrast to Shinto.;;;;;;;;;;;;;x
sanamahi_pagan_reformed;Sanamahist;Sanamahiste;Sanamahist;;Sanamahista;;;;;;;;;x
sanamahi_pagan_reformed_DESC;The reformed Sanamahist faith has a Holy Book known as the Puya, a standardized liturgy and a formal church hierarchy led by the High Priest, who can be vassalized by secular rulers.;;;;;;;;;;;;;x
sanamahi_pagan;Sanamahist;;;;;;;;;;;;;x
sanamahi_pagan_DESC;Sanamahism is an ancient religion orginating from Eastern India. Being an Indian folk religions, it draws a lot of element from Hinduism and has also been influenced by the other religions in the area.;;;;;;;;;;;;;x
sundanese_pagan_reformed;Sunda Wiwitan;;;;;;;;;;;;;x
sundanese_pagan;Sunda Wiwitan;;;;;;;;;;;;;x
tai_pagan_reformed;Satsana Phi;;;;;;;;;;;;;x
tai_pagan;Satsana Phi;;;;;;;;;;;;;x
taiwanese_pagan_reformed;Taiwanese;;;;;;;;;;;;;x
taiwanese_pagan;Taiwanese;;;;;;;;;;;;;x
viet_pagan_reformed;Thanist;;;;;;;;;;;;;x
viet_pagan_reformed_DESC;The reformed Thanist faith has a standardized Holy Book and liturgy, and a formal church hierarchy led by the High Priest, who can be vassalized by secular rulers.;;;;;;;;;;;;;x
viet_pagan;Thanist;;;;;;;;;;;;;x
viet_pagan_DESC;Thanism is the folk religion of the Viet people. Having a lot of similarities with the various Chinese religions, Thanism incorporates various local traditions and thus tends to be practiced in diverse ways.;;;;;;;;;;;;;x
yi_pagan_reformed;Bimoist;;;;;;;;;;;;;x
yi_pagan;Bimoist;;;;;;;;;;;;;x
zhuang_pagan_reformed;Moist;;;;;;;;;;;;;x
zhuang_pagan;Moist;;;;;;;;;;;;;x
# High Gods
GOD_AMAMIKYO;Amamikyo;Amamikyo;Amamikyo;;Amamikyo;;;;;;;;;x
GOD_AMATERASU_OMIKAMI;Amaterasu-Omikami;;;;;;;;;;;;;x
GOD_APE_KAMUY;Ape Kamuy;;;;;;;;;;;;;x
GOD_BAEUQLOXDOH;Baeuqloxdoh;;;;;;;;;;;;;x
GOD_BENZHU;The Benzhu;;;;;;;;;;;;;x
GOD_DAO;Dao;;;;;;;;;;;;;x
GOD_HANEULLIM;Haneullim;Haneullim;Haneullim;;Haneullim;;;;;;;;;x
GOD_INTI;Inti;;;;;;;;;;;;;x
GOD_SANAMAHI;Sanamahi;Sanamahi;Sanamahi;;Sanamahi;;;;;;;;;x
GOD_SHEN;Shen;Shen;Shen;;Shen;;;;;;;;;x
GOD_TEN_TEI;Ten-Tei;;;;;;;;;;;;;x
GOD_THIEN;Thien Than;Thien Than;Thien Than;;Thien Than;;;;;;;;;x
GOD_TIAN;Tian;Tian;Tian;;Tian;;;;;;;;;x
GOD_YAWM_SAUB;Yawm Saub;;;;;;;;;;;;;x
GOD_ZAO_GONGEN;Zao Gongen;;;;;;;;;;;;;x
GOD_ZHYGE_ALU;Zhyge Alu;;;;;;;;;;;;;x
# God names
DAB_TSHUAJ;Dab Tshuaj;;;;;;;;;;;;;x
DAB_XWM_KAB;Dab Xwm Kab;;;;;;;;;;;;;x
GOD_AE_OYNA_KAMUY;Ae-oyna-kamuy;;;;;;;;;;;;;x
GOD_AJISUKITAKAHIKONE;Ajisukitakahikone;;;;;;;;;;;;;x
GOD_AMATERASU;Amaterasu;;;;;;;;;;;;;x
GOD_AMATSUHIKONE;Amatsuhikone;;;;;;;;;;;;;x
GOD_AMATSUMARA;Amatsumara;;;;;;;;;;;;;x
GOD_AMENOHOAKARI;Amenohoakari;;;;;;;;;;;;;x
GOD_AMENOTOKOTACHI;Amenotokotachi;;;;;;;;;;;;;x
GOD_AME_NO_HOHI;Ame-no-hohi;;;;;;;;;;;;;x
GOD_AME_NO_KOYANE;Ame-no-Koyane;;;;;;;;;;;;;x
GOD_AME_NO_MIHASHIRA;Ame no Mihashira;;;;;;;;;;;;;x
GOD_AME_NO_MINAKANUSHI;Ame-no-Minakanushi;;;;;;;;;;;;;x
GOD_AME_NO_NAEMASU;Ame-no-Naemasu;;;;;;;;;;;;;x
GOD_AME_NO_OSHIHOMIMI;Ame-no-oshihomimi;;;;;;;;;;;;;x
GOD_AME_NO_TAJIKARAO;Ame-no-Tajikarao;;;;;;;;;;;;;x
GOD_AME_NO_UZUME;Ame-no-Uzume;;;;;;;;;;;;;x
GOD_AME_NO_WAKAHIKO;Ame-no-wakahiko;;;;;;;;;;;;;x
GOD_APANBA;Apanba;Apanba;Apanba;;Apanba;;;;;;;;;x
GOD_APASAM_KAMUY;Apasam Kamuy;;;;;;;;;;;;;x
GOD_ASHEEBA;Asheeba;Asheeba;Asheeba;;Asheeba;;;;;;;;;x
GOD_ATAGO_GONGEN;Atago Gongen;;;;;;;;;;;;;x
GOD_ATILABA;Atilaba;;;;;;;;;;;;;x
GOD_ATIYA_SIDABA;Atiya Sidaba;Atiya Sidaba;Atiya Sidaba;;Atiya Sidaba;;;;;;;;;x
GOD_AT_KOR_KAMUY;At-kor-kamuy;;;;;;;;;;;;;x
GOD_AYAKASHIKONE;Ayakashikone;;;;;;;;;;;;;x
GOD_AZUMI_NO_ISORA;Azumi-no-isora;;;;;;;;;;;;;x
GOD_BBAHXA_AYUOSSE;Bbahxa Ayuosse;;;;;;;;;;;;;x
GOD_BENTEN;Benten;;;;;;;;;;;;;x
GOD_BENZAITEN;Benzaiten;;;;;;;;;;;;;x
GOD_BENZAITENNYO;Benzaitennyo;;;;;;;;;;;;;x
GOD_BISHAMON;Bishamon;;;;;;;;;;;;;x
GOD_BISHAMONTEN;Bishamonten;;;;;;;;;;;;;x
GOD_CAISHEN;Caishen;Caishen;Caishen;;Caishen;;;;;;;;;x
GOD_CANGJIE;Cangjie;;;;;;;;;;;;;x
GOD_CA_ONG;Ca Ong;Ca Ong;Ca Ong;;Ca Ong;;;;;;;;;x
GOD_CHANGE;Chang 'E;;;;;;;;;;;;;x
GOD_CHIYOU;Chiyou;;;;;;;;;;;;;x
GOD_CIKAP_KAMUY;Cikap-kamuy;;;;;;;;;;;;;x
GOD_CURVED_ARRAY_DADI;The Gouchen Emperor;;;;;;;;;;;;;x
GOD_DAB_NCEJ_TAS;Dab Ncej Tas;;;;;;;;;;;;;x
GOD_DAB_NEEB;Dab Neeb;;;;;;;;;;;;;x
GOD_DAB_POG;Dab Pog;;;;;;;;;;;;;x
GOD_DAB_QUS;Dab Qus;;;;;;;;;;;;;x
GOD_DAIKOKUTEN;Daikokuten;;;;;;;;;;;;;x
GOD_DAIMYOJIN;Daimyojin;;;;;;;;;;;;;x
GOD_DAINICHI_NYORAI;Dainichi Nyorai;;;;;;;;;;;;;x
GOD_DANGUN;Dangun;Dangun;Dangun;;Dangun;;;;;;;;;x
GOD_DAODE_TIANZUN;Daode Tianzun;;;;;;;;;;;;;x
GOD_DOJIN;Dojin;;;;;;;;;;;;;x
GOD_DONGWANGGONG;Dongwang Gong;;;;;;;;;;;;;x
GOD_DUAN_CHICHENG;Duan Chicheng;;;;;;;;;;;;;x
GOD_DU_CHAOXUAN;Du Chaoxuan;;;;;;;;;;;;;x
GOD_EBISU;Ebisu;;;;;;;;;;;;;x
GOD_EIGHT_IMMORTALS;Eight Immortals;;;;;;;;;;;;;x
GOD_EOPSIN;Eopsin;;;;;;;;;;;;;x
GOD_ERLANG;Erlangshen;;;;;;;;;;;;;x
GOD_FUDO_MYOO;Fudo Myoo;;;;;;;;;;;;;x
GOD_FUKUROKUJU;Fukurokuju;;;;;;;;;;;;;x
GOD_FUTODAMA;Futodama;;;;;;;;;;;;;x
GOD_FUTSUNUSHI;Futsunushi;;;;;;;;;;;;;x
GOD_FUXI;Fuxi;;;;;;;;;;;;;x
GOD_GELUOFENG;Geluofeng;;;;;;;;;;;;;x
GOD_GONGGONG;Gonggong;;;;;;;;;;;;;x
GOD_GUANYING;Guanying Pusa;;;;;;;;;;;;;x
GOD_GUAN_YU;Guan Yu;Guan Yu;Guan Yu;;Guan Yu;;;;;;;;;x
GOD_GYAJ;Gyaj;;;;;;;;;;;;;x
GOD_HACHIMAN;Hachiman;;;;;;;;;;;;;x
GOD_HAEMOSU;Haemosu;;;;;;;;;;;;;x
GOD_HANEULLIM;Haneullim;;;;;;;;;;;;;x
GOD_HANIYASU_HIKO;Haniyasu-hiko;;;;;;;;;;;;;x
GOD_HANIYASU_HIME;Haniyasu-hime;;;;;;;;;;;;;x
GOD_HASINAW_UK_KAMUY;Hasinaw-uk-kamuy;;;;;;;;;;;;;x
GOD_HIKOHOHODEMI_NO_MIKOTO;Hikohohodemi no Mikoto;;;;;;;;;;;;;x
GOD_HODERI;Hoderi;;;;;;;;;;;;;x
GOD_HOORI;Hoori;;;;;;;;;;;;;x
GOD_HOUTU_NIANGNIANG;Houtu Empress;;;;;;;;;;;;;x
GOD_HOUYI;Hou Yi;;;;;;;;;;;;;x
GOD_HUANGDI;Xuanyuan Huangdi;Xuanyuan Huangdi;Xuanyuan Huangdi;;Xuanyuan Huangdi;;;;;;;;;x
GOD_HUNDUN;Hundun;;;;;;;;;;;;;x
GOD_HWANUNG;Hwanung;Hwanung;Hwanung;;Hwanung;;;;;;;;;x
GOD_IKUGUSHI;Ikugushi;;;;;;;;;;;;;x
GOD_ILLAPA;Illapa;;;;;;;;;;;;;x
GOD_INADAHIME;Inadahime;;;;;;;;;;;;;x
GOD_INARI_OKAMI;Inari Okami;;;;;;;;;;;;;x
GOD_ISETSUHIKO;Isetsuhiko;;;;;;;;;;;;;x
GOD_ISHIKORI_DOME_NO_MIKOTO;Ishikori-dome no Mikoto;;;;;;;;;;;;;x
GOD_IWANUSHI;Iwanushi;;;;;;;;;;;;;x
GOD_IWASAKU;Iwasaku;;;;;;;;;;;;;x
GOD_IWAZARU;Iwazaru;;;;;;;;;;;;;x
GOD_IZANAGI;Izanagi;;;;;;;;;;;;;x
GOD_IZANAMI;Izanami;;;;;;;;;;;;;x
GOD_JOWANGSIN;Jowangsin;;;;;;;;;;;;;x
GOD_KAGUTSUCHI;Kagutsuchi;;;;;;;;;;;;;x
GOD_KAMI;The Kami;;;;;;;;;;;;;x
GOD_KAMIMISUBI;Kamimusubi;;;;;;;;;;;;;x
GOD_KAMUY_HUCI;Kamuy-huci;;;;;;;;;;;;;x
GOD_KANAYAGO_KAMI;Kanayago-kami;;;;;;;;;;;;;x
GOD_KANAYAKO_KAMI;Kanayako-kami;;;;;;;;;;;;;x
GOD_KANDAKORO_KAMUY;Kandakoro Kamuy;;;;;;;;;;;;;x
GOD_KAWAYA_NO_KAMI;Kawaya no Kami;;;;;;;;;;;;;x
GOD_KAYA_NO_HIME;Kaya-no-hime;;;;;;;;;;;;;x
GOD_KICHIJOTEN;Kichijoten;;;;;;;;;;;;;x
GOD_KIKAZARU;Kikazaru;;;;;;;;;;;;;x
GOD_KIM_UN_KAMUY;Kim-un-kamuy;;;;;;;;;;;;;x
GOD_KINA_SUT_KAMUY;Kina-sut-kamuy;;;;;;;;;;;;;x
GOD_KISSHOTEN;Kisshoten;;;;;;;;;;;;;x
GOD_KISSHOTENNYO;Kisshotennyo;;;;;;;;;;;;;x
GOD_KOJIN;Kojin;;;;;;;;;;;;;x
GOD_KONJIN;Konjin;;;;;;;;;;;;;x
GOD_KONOHANASAKUYA_HIME;Konohanasakuya-hime;;;;;;;;;;;;;x
GOD_KONPIRA_GONGEN;Konpira Gongen;;;;;;;;;;;;;x
GOD_KOTAN_KAR_KAMUY;Kotan-kar-kamuy;;;;;;;;;;;;;x
GOD_KOTOSHIRONUSHI;Kotoshironushi;;;;;;;;;;;;;x
GOD_KUDOKUTEN;Kudokuten;;;;;;;;;;;;;x
GOD_KUEBIKO;Kuebiko;;;;;;;;;;;;;x
